#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-08-01T11:14:06
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-08-01T11:00:00.000
#DataEndTime: 2024-08-01T11:14:04.000
#RecordNumber: 160
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=8.00us, PlsCode=8-bit Complementary, PRF=781.25Hz, PlsAccum=4, Range=192km, GateNum=160, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=1024, SpAverage=5
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300 -16.2    1.57 -12.87 -14.3   -2.49  49.21 -14.5   -1.76  12.59 -10.4    1.88 124.45 -12.2    0.21 -17.17
   1500  16.7   -0.24   8.87  18.4    0.10  40.91  14.7    0.29  22.60  20.1   -0.01  77.82  13.0    0.17   8.30
   2700  35.3   -1.42  16.88  39.5    1.61  39.29  33.3    1.49  20.69  40.8   -1.29  43.01  29.4    0.16  25.84
   3900  46.3   -1.81  23.46  50.4    2.14  39.67  43.5    1.99  25.56  50.8   -1.95  52.83  38.0    0.15  40.63
   5100  48.7   -1.81  37.48  52.0    2.14  41.58  46.8    2.15  32.23  51.4   -2.18  52.83  40.5    0.10  51.31
   6300  49.0   -1.52  41.96  52.3    1.64  41.58  48.7    2.15  35.86  51.4   -2.37  53.98  41.5    0.10  57.98
   7500  51.5   -1.04  41.96  52.3    1.03  41.87  48.8    2.23  46.54  51.4   -2.62  53.98  42.2    0.01  57.98
   8700  51.5   -0.80  41.68  51.4    0.34  34.14  48.8    2.31  46.54  50.9   -2.68  52.74  42.2   -0.11  50.16
   9900  48.2   -0.30  30.04  47.4   -0.12  26.32  45.4    2.31  39.29  47.7   -2.66  39.10  40.5   -0.16  33.66
  11100  44.5    0.16  20.89  42.0   -0.12  19.17  41.6    1.50  26.61  41.8   -1.88  26.70  38.3   -0.43  20.31
  12300  38.9    0.74  16.88  35.6   -1.09  14.88  37.4    0.10  15.83  35.9   -0.86  15.45  35.1   -0.61  15.64
  13500  33.6    1.23  13.26  27.5   -2.09  13.35  32.5   -1.16  12.11  32.4    0.24  12.30  31.6   -0.77  12.68
  14700  26.8    1.63  11.44  20.5   -3.13   9.35  26.0   -1.37   9.54  22.6    4.28   8.39  29.5   -0.77   9.73
  15900  22.5    2.14  10.97  19.2   -3.51   7.44  21.8   -1.46   7.92  13.2    8.07   5.25  29.3   -0.51   6.96
  17100  20.8    2.92  10.20  21.4   -3.77   7.63  19.9   -1.13   6.68  11.5    8.05   4.29  28.3   -0.24   6.96
  18300  20.4    3.80   8.68  18.5   -4.17   5.63  18.2   -0.76   5.82   8.8    7.69   3.24  27.4    0.06   6.48
  19500  19.2    4.44   6.77  17.4   -4.66   4.67  16.8   -0.40   5.05   9.6    3.68   3.24  27.4    0.14   6.87
  20700  17.2    4.77   5.25  14.9   -5.27   4.20  15.9   -0.10   4.39  16.6   -0.50   4.96  28.3    0.08   7.15
  21900  15.7    4.77   4.29  12.7   -5.37   3.72  14.1    0.02   4.01  19.8   -0.71   5.34  30.2    0.18  18.50
  23100  13.8    5.11   4.10  11.6   -5.94   3.53  14.1    0.24   4.01  14.5   -0.47   4.48  31.5    0.24  24.03
  24300  12.1    5.61   4.10   9.6   -6.52   3.53  20.0    3.93  12.49  11.2   -0.55   4.20  30.2   10.92  24.03
  25500  12.1    5.64   4.10  12.2   -6.52   3.81  20.0    7.63  12.49  11.4  -10.31   4.20  24.3   10.68  23.46
  26700   9.0    6.05   3.53  12.2   -6.27   3.81  23.5   11.21  16.74   7.9   -4.32   3.72   8.7   10.99   4.29
  27900   6.8    6.38   2.96  10.6   -6.21   3.86  31.9   11.23  29.47   6.7   -3.52   3.34   8.7   10.99   4.29
  29100   6.8    6.68   3.24   9.1   -6.02   4.01 -99999 -9999999 -999999   5.9  -13.97   3.15   8.7   10.99   4.29
  30300   5.2    6.50   2.43 -99999 -9999999 -999999 -99999 -9999999 -999999   5.6  -17.51   2.77  12.1    0.35   6.01
  31500   4.8    6.58   2.00 -99999 -9999999 -999999 -99999 -9999999 -999999   5.6   -7.02   2.77 -99999 -9999999 -999999
  32700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999   5.2   -4.81   2.57 -99999 -9999999 -999999
  33900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999   5.5  -11.40   2.86 -99999 -9999999 -999999
  35100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  36300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  37500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  38700   4.8    0.13   1.14 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  39900   4.8    0.13   1.14 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  41100   4.8    0.13   1.14 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  42300   4.8    0.13   1.14 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  43500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  44700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  45900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  47100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  48300 -99999 -9999999 -999999   6.7   -3.51   2.57 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  49500 -99999 -9999999 -999999   5.9   -3.63   2.15 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  50700 -99999 -9999999 -999999   6.8   -3.63   2.38 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  51900 -99999 -9999999 -999999   5.6   -3.72   2.00 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  53100 -99999 -9999999 -999999   6.1   -3.66   2.19 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  54300 -99999 -9999999 -999999   5.8   -3.69   2.10 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  55500 -99999 -9999999 -999999   6.5   -3.69   2.48 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  56700 -99999 -9999999 -999999   5.7   -3.74   2.10 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  57900 -99999 -9999999 -999999   6.5   -3.68   2.48 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  59100 -99999 -9999999 -999999   6.5   -3.73   2.57 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  60300 -99999 -9999999 -999999   7.4   -3.78   2.86 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  61500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  62700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999   4.7   -0.77   1.72 -99999 -9999999 -999999
  63900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999   4.7   -0.77   1.72 -99999 -9999999 -999999
  65100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  66300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  67500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  68700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  69900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  71100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  72300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  73500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  74700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  75900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  77100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  78300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  79500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  80700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  81900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  83100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  84300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  85500 -99999 -9999999 -999999   4.5   -5.90   1.43 -99999 -9999999 -999999 -99999 -9999999 -999999  13.7   -3.91  13.45
